Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
TP114,1,R-OUT,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP115,1,L-OUT,,,,OpenTendo-AGB:TestPoint_Pad_D0.8mm,
TP116,1,T1-6,,,,OpenTendo-AGB:TestPoint_Pad_D1.0mm_VIA,
U1,1,AGB-CPU,,,,OpenTendo-AGB:CPU-AGB,
U2,1,AGB-SRAM,,,,OpenTendo-AGB:AGB-SRAM,
U3,1,AGB-REG,,,,OpenTendo-AGB:AGB-REG,
U4,1,AGB-PMIC,,,,OpenTendo-AGB:TSSOP-16_4.4x5mm_P0.65mm,
U5,1,UMD2N,,,,OpenTendo-AGB:SOT-363_SC-70-6,
U6,1,AGB-AMP,,,,OpenTendo-AGB:AGB-AMP,
U10,1,UMG3N,,,,OpenTendo-AGB:SOT-353_SC-70-5,
VR1,1,50k,,,,OpenTendo-AGB:VR1,~
VR2,1,30k,,,,OpenTendo-AGB:Thumbwheel,~
X1,1,4.194304MHz,,,,OpenTendo-AGB:Crystal,~
